I (1579) main: ADC0:  1.1; DAC0:    0; PID: 217.440
I (2209) main: ADC0:  1.8; DAC0:    0; PID: 217.369
I (2849) main: ADC0:  1.8; DAC0:    0; PID: 217.372
I (3489) main: ADC0:  1.4; DAC0:    0; PID: 217.410
I (4119) main: ADC0:  1.7; DAC0:    0; PID: 217.383
I (4759) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (5389) main: ADC0:  1.5; DAC0:    0; PID: 217.398
I (6029) main: ADC0:  1.8; DAC0:    0; PID: 217.366
I (6659) main: ADC0:  1.4; DAC0:    0; PID: 217.410
I (7299) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (7929) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (8569) main: ADC0:  1.6; DAC0:    0; PID: 217.390
I (9209) main: ADC0:  1.4; DAC0:    0; PID: 217.410
I (9839) main: ADC0:  1.7; DAC0:    0; PID: 217.376
I (10479) main: ADC0:  1.6; DAC0:    0; PID: 217.390
I (11109) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (11749) main: ADC0:  1.2; DAC0:    0; PID: 217.428
I (12379) main: ADC0:  1.4; DAC0:    0; PID: 217.414
I (13019) main: ADC0:  1.6; DAC0:    0; PID: 217.390
I (13649) main: ADC0:  1.7; DAC0:    0; PID: 217.379
I (14289) main: ADC0:  1.4; DAC0:    0; PID: 217.410
I (14929) main: ADC0:  1.4; DAC0:    0; PID: 217.406
I (15559) main: ADC0:  1.2; DAC0:    0; PID: 217.433
I (16199) main: ADC0:  1.1; DAC0:    0; PID: 217.444
I (16829) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (17469) main: ADC0:  1.2; DAC0:    0; PID: 217.428
I (18099) main: ADC0:  1.1; DAC0:    0; PID: 217.439
I (18739) main: ADC0:  1.1; DAC0:    0; PID: 217.439
I (19369) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (20009) main: ADC0:  1.3; DAC0:    0; PID: 217.424
I (20649) main: ADC0:  1.4; DAC0:    0; PID: 217.406
I (21279) main: ADC0:  1.7; DAC0:    0; PID: 217.379
I (21919) main: ADC0:  2.0; DAC0:    0; PID: 217.353
I (22549) main: ADC0:  1.8; DAC0:    0; PID: 217.369
I (23189) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (23819) main: ADC0:  1.9; DAC0:    0; PID: 217.356
I (24459) main: ADC0:  2.0; DAC0:    0; PID: 217.353
I (25089) main: ADC0:  1.7; DAC0:    0; PID: 217.376
I (25729) main: ADC0:  1.3; DAC0:    0; PID: 217.424
I (26369) main: ADC0:  1.6; DAC0:    0; PID: 217.390
I (26999) main: ADC0:  1.7; DAC0:    0; PID: 217.379
I (27639) main: ADC0:  1.5; DAC0:    0; PID: 217.398
I (28269) main: ADC0:  1.7; DAC0:    0; PID: 217.383
I (28909) main: ADC0:  1.9; DAC0:    0; PID: 217.359
I (29539) main: ADC0:  1.9; DAC0:    0; PID: 217.356
I (30179) main: ADC0:  2.0; DAC0:    0; PID: 217.350
I (30809) main: ADC0:  2.0; DAC0:    0; PID: 217.353
I (31449) main: ADC0:  1.9; DAC0:    0; PID: 217.359
I (32089) main: ADC0:  1.7; DAC0:    0; PID: 217.376
I (32719) main: ADC0:  1.5; DAC0:    0; PID: 217.402
I (33359) main: ADC0:  1.6; DAC0:    0; PID: 217.394
I (33989) main: ADC0:  1.9; DAC0:    0; PID: 217.362
I (34629) main: ADC0:  1.8; DAC0:    0; PID: 217.372
I (35259) main: ADC0:  1.5; DAC0:    0; PID: 217.398
I (35899) main: ADC0:  1.5; DAC0:    0; PID: 217.398
I (36529) main: ADC0:  1.3; DAC0:    0; PID: 217.419
I (37169) main: ADC0:  1.7; DAC0:    0; PID: 217.376
I (37809) main: ADC0:  1.9; DAC0:    0; PID: 217.356
I (38439) main: ADC0:  1.6; DAC0:    0; PID: 217.394
I (39079) main: ADC0:  1.8; DAC0:    0; PID: 217.366
I (39709) main: ADC0:  2.0; DAC0:    0; PID: 217.353
I (40349) main: ADC0:  1.9; DAC0:    0; PID: 217.362
I (40979) main: ADC0:  1.3; DAC0:    0; PID: 217.424
I (41619) main: ADC0:  1.8; DAC0:    0; PID: 217.372
I (42249) main: ADC0:  2.0; DAC0:    0; PID: 217.353
I (42889) main: ADC0:  1.8; DAC0:    0; PID: 217.372
I (43529) main: ADC0:  1.4; DAC0:    0; PID: 217.414
I (44159) main: ADC0:  1.6; DAC0:    0; PID: 217.390
I (44799) main: ADC0:  1.7; DAC0:    0; PID: 217.383
I (45429) main: ADC0:  1.4; DAC0:    0; PID: 217.410
I (46069) main: ADC0:  1.5; DAC0:    0; PID: 217.398
I (46699) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (47339) main: ADC0:  1.0; DAC0:    0; PID: 217.450
I (47969) main: ADC0:  1.0; DAC0:    0; PID: 217.450
